YAL027W	1	786
tL(CAA)A	39	82
tL(CAA)A	1	38
YAL028W	1	1587
YAL029C	4416	1
YAL064W-B	1	381
YAL064W-B	1	305
YAL064W-B	285	381
YAL064W-B	381	1
YAL019W	1	3396
YAR047C	321	1
tS(AGA)A	82	1
YAR060C	336	1
YAR060C	330	14
YAR060C	110	6
YAR060C	1	336
YAR060C	6	110
YAR061W	1	204
YAR061W	1	194
YAR061W	204	1
YAR061W	194	2
YAL030W	103	354
YAL030W	1	108
YAR062W	1	597
YAR062W	1	594
YAR062W	407	597
YAR062W	410	535
YAR062W	410	594
YAR062W	410	535
YAR062W	407	535
YAR062W	392	547
YAR062W	410	535
YAR062W	414	547
YAR062W	392	535
YAR062W	392	547
YAR062W	415	547
YAR062W	392	527
YAR062W	392	527
YAR062W	415	527
YAR062W	415	527
YAR062W	451	535
YAR062W	451	527
YAR062W	594	1
YAR062W	501	1
YAR062W	594	407
YAR062W	535	410
YAR062W	547	392
YAR062W	547	414
YAR062W	535	392
YAR062W	547	392
YAR062W	527	392
YAR062W	527	392
YAR062W	527	415
YAR062W	527	392
YAR062W	527	415
YAR062W	597	538
YAR062W	527	451
YAL031C	2283	1
YAL032C	1140	1
YAR064W	1	300
YAL033W	1	522
YAL034C	1242	1
YAR066W	1	612
YAL035W	1	3009
YAL036C	1110	1
YAR068W	1	486
YAR069C	294	1
YAL037W	1	804
YAL056C-A	351	1
YAL038W	1	1503
YAL039C	810	1
YAR070C	300	1
YAR071W	1	1404
YAL040C	1743	1
YAL041W	1	2565
YAR073W	1	1212
YAL042W	1	1248
YAL043C	2358	1
YAR075W	1	474
YAL044C	513	1
YAL045C	309	1
YAL046C	357	1
YAL047C	1869	1
YAL048C	1989	1
YAL049C	741	1
YAR002W	1	1620
YAR003W	1	1281
YAR007C	1866	1
YAR008W	1	828
YAR009C	3591	1
YAL064C-A	381	1
YAL064C-A	381	1
YAL064C-A	1	381
YAL064C-A	1	381
YAL051W	1	3144
YAR002C-A	660	1
YAL053W	1	2352
YAL054C	2142	1
YAL055W	1	543
YAL056W	1	2643
YAL058W	1	1509
YAL059W	1	639
YAR010C	1323	1
YAR010C	67	1
YAR010C	1	70
YAL042C-A	378	1
YAL034C-B	354	1
YAR014C	2124	1
YAR015W	1	921
YAR018C	1308	1
YAR019C	2925	1
tA(UGC)A	1	73
tP(UGG)A	1	38
tP(UGG)A	37	72
YAL060W	1	1149
YAL060W	1	1145
YAL061W	1	1254
YAL061W	1	1148
YAL062W	1	1374
YAL063C	3969	1
YAL063C	3962	3109
YAL063C	3072	2470
YAL063C	824	8
YAL063C	3086	2918
YAL063C	3058	2940
YAL063C	1	2572
YAL063C	1908	3238
YAL063C	8	1040
YAL063C	3281	3668
YAL063C	3642	3969
YAL063C	2759	2916
YAL064W	1	327
YAL064W	327	6
YAL065C	387	1
YAL065C	387	1
YAL065C	18	387
YAL066W	1	309
YAL067C	1782	1
YAL068C	363	1
YAL068C	363	1
HRA1	1	564
YAL069W	1	315
YAL069W	315	74
YAR020C	168	1
YAR020C	168	1
YAR023C	540	1
YAR023C	172	373
YAR023C	122	523
YAR023C	134	345
YAR023C	154	345
YAR027W	1	708
YAR027W	1	706
YAR027W	1	699
YAR027W	1	485
YAR027W	188	485
YAR027W	1	150
YAR027W	523	36
YAR028W	1	705
YAR028W	1	703
YAR028W	1	696
YAR028W	1	686
YAR028W	97	405
YAR028W	1	195
YAR028W	283	489
YAR028W	526	33
YAR029W	1	225
YAR029W	1	164
YAR029W	1	224
YAR029W	102	1
YAL016W	1	1908
snR18	1	102
YAR030C	342	1
YAR031W	1	897
YAR031W	6	717
YAR031W	95	885
YAR031W	54	885
YAR031W	467	746
YAR031W	283	603
YAR031W	178	377
YAR031W	745	896
YAL001C	3483	1089
YAL001C	1238	30
YAL001C	74	1
YAR033W	1	705
YAR033W	1	534
YAR033W	1	488
YAR033W	1	671
YAR033W	327	660
YAR033W	97	420
YAR033W	1	201
YAR033W	544	704
YAR033W	679	77
YAL002W	1	3825
YAL034W-A	1	870
YAL003W	80	621
YAL003W	1	80
YAR035W	1	2064
YAL004W	1	648
YAL005C	1929	1
YAL007C	648	1
YAL008W	1	597
YAL009W	1	780
YAL010C	1482	1
YAR042W	1	3567
YAR042W	3188	3468
YAL011W	1	1878
YAL012W	1	1185
YAL013W	1	1263
YAL014C	768	1
YAL015C	1200	1
YAL044W-A	1	333
YAL016C-B	186	1
YAL037C-B	975	1
YAL067W-A	1	228
YAL068W-A	1	255
YAL068W-A	250	1
YAR035C-A	81	1
YAL016C-A	315	1
YAL019W-A	1	570
YAL026C-A	438	1
YAL031W-A	1	309
YAL037C-A	93	1
YAL047W-A	1	330
YAL059C-A	423	1
YAR019W-A	1	345
YAL063C-A	291	1
YAL063C-A	1	291
YAR050W	1	4614
YAR050W	6	1040
YAR050W	3389	3552
YAR050W	356	864
YAR050W	2572	1
YAR050W	4286	3603
YAR050W	4286	3352
YAR050W	839	6
YAR050W	4614	4314
YAR050W	3711	3159
YAR050W	4607	4314
YAR050W	3396	3248
YAR050W	3711	3603
YAR050W	871	402
YAL017W	1	4071
YAL020C	1002	1
YAL021C	2514	1
YAR053W	1	297
YAR053W	297	1
YAL022C	1554	1
YAL023C	2280	1
YAL024C	4308	1
YAL025C	921	1
YAL018C	978	1
YAL026C	4068	1
