OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
33873,2010,CA,CDF,SKU,HART,00005505,2010/07/29 00:00:00+00,2010/07/29 00:00:00+00,3.3,3.32119751,1,24096.213191265,599.164647213496
33874,2010,CA,CDF,SKU,HOLLOW,00005373,2010/07/26 00:00:00+00,2010/07/26 00:00:00+00,1,1.37138546,1,9933.211835115,458.438433392181
33875,2010,CA,CDF,SKU,RY,00002154,2010/03/31 00:00:00+00,2010/03/31 00:00:00+00,7,7.19617701,1,52132.686615425,1395.76498815585
33877,2010,CA,CDF,SLU,ANTELOPE,00008386,2010/10/26 00:00:00+00,2010/10/26 00:00:00+00,185,193.61825562,1,1191736.48656647,5141.24286171569
33878,2010,CA,CDF,SLU,CREEK,00004751,2010/06/26 00:00:00+00,2010/06/26 00:00:00+00,250,10.18735886,1,62092.758860145,1476.63036268724
33879,2010,CA,CDF,SLU,ROCKY,00005932,2010/08/02 00:00:00+00,2010/08/02 00:00:00+00,33,29.55972672,1,180631.6874516,1958.49324202277
33880,2010,CA,CDF,SLU,LAKE,00006602,2010/08/25 00:00:00+00,2010/08/25 00:00:00+00,24,23.77216339,1,146477.239534075,2379.83672909256
33881,2010,CA,CDF,SLU,LAKE,00007974,2010/10/09 00:00:00+00,2010/10/11 00:00:00+00,112,111.82373047,1,688720.09400888,3661.19020676852
33882,2010,CA,USF,SNF,BUCKHORN,1497,2010/08/07 00:00:00+00,2010/11/03 00:00:00+00,471,470.96694946,2,3039359.42555342,11660.68080526
33883,2010,CA,USF,SQF,MAGGIE,2514,2010/07/17 00:00:00+00,2010/07/17 00:00:00+00,50,45.42830276,1,283428.85890982,2610.30803632674
33884,2010,CA,USF,SQF,MARVIN,2475,2010/07/15 00:00:00+00,2010/07/15 00:00:00+00,25,24.69101906,2,155862.107135495,3091.81959233018
33885,2010,CA,USF,SQF,COW,1854,2010/06/19 00:00:00+00,2010/06/20 00:00:00+00,14,20.36153221,1,124953.20607698,1963.60619795629
33886,2010,CA,USF,SQF,CHINA,2302,2010/07/06 00:00:00+00,2010/07/08 00:00:00+00,35,33.89205551,1,207475.961577705,2271.93562586874
33887,2010,CA,USF,SQF,CREEK,2467,2010/07/15 00:00:00+00,2010/07/16 00:00:00+00,95,95.88905334,1,591141.09369098,4232.48107499512
33888,2010,CA,USF,SQF,GROUSE,2493,2010/07/15 00:00:00+00,2010/07/15 00:00:00+00,24,22.43255234,1,139709.349897145,1704.73444330874
33889,2010,CA,USF,SQF,BULL,2701,2010/07/25 00:00:00+00,2010/07/31 00:00:00+00,16442,16448.22460938,1,101433591.493546,75380.471792546
33890,2010,CA,USF,SQF,CANYON,003564,2010/09/12 00:00:00+00,2010/09/24 00:00:00+00,9820,9336.10742188,1,57206017.6869037,70270.7242429781
33891,2010,CA,USF,STF,BUMMER ,00003148,2010/10/03 00:00:00+00,2010/11/16 00:00:00+00,144,143.66769409,,945966.373188415,5854.97087797154
33892,2010,CA,USF,STF,PINECREST ,00002269,2010/08/08 00:00:00+00,2010/08/09 00:00:00+00,844,906.67651367,,5955881.26560692,19318.5224146068
33893,2010,CA,CDF,TCU,CANAL,000361,2010/09/05 00:00:00+00,2010/09/06 00:00:00+00,158,157.98348999,1,992222.579053065,6164.93130228448
33894,2010,CA,CDF,TCU,CURVE,,2010/07/21 00:00:00+00,2010/07/22 00:00:00+00,108,107.38900757,1,665829.476889615,4144.51337240613
33895,2010,CA,CDF,TGU,HOG,00005843,2010/08/27 00:00:00+00,2010/08/27 00:00:00+00,42,41.61971664,1,289680.667893375,3031.77110627108
33896,2010,CA,CDF,TUU,BALES,00000098,2010/06/04 00:00:00+00,2010/06/04 00:00:00+00,,913.15734863,1,5632606.20074776,13169.9228252259
33897,2010,CA,CDF,TUU,STOKES 2,00000320,2010/08/17 00:00:00+00,2010/08/18 00:00:00+00,879,895.26422119,1,5621391.24374997,14171.0947834083
33909,2016,CA,NPS,SMP,COAST,000896,2016/12/02 00:00:00+00,2016/12/02 00:00:00+00,1.16738749,1.16738749,1,6898.61279335,557.083385252199
33911,2016,CA,NPS,SMP,MULHOLLAND,000210,2016/02/25 00:00:00+00,2016/02/28 00:00:00+00,11.3252898,11.32528973,1,66987.198053395,1248.13608724191
33912,2016,CA,NPS,KNP,YUCCA,000184,2016/11/05 00:00:00+00,2016/11/15 00:00:00+00,71.68798945,71.68798828,1,451091.003069535,5326.78311006971
33913,2016,CA,NPS,KNP,SENTINEL,000140,2016/08/19 00:00:00+00,2016/11/15 00:00:00+00,74.3785783,74.37857819,1,469702.22382778,3179.898815968
33914,2016,CA,NPS,YNP,LAKES,000041,2016/06/26 00:00:00+00,2016/12/02 00:00:00+00,1000.71773133,1000.7177124,1,6462430.28383254,20744.8032579642
33921,2016,CA,CCO,VNC,CASITAS,031135,2016/04/28 00:00:00+00,2016/04/30 00:00:00+00,,46.15999603,1,274767.036103485,3774.88139908369
33923,2016,CA,CCO,VNC,ROCKY,041099,2016/06/02 00:00:00+00,2016/06/02 00:00:00+00,5,5.22763634,1,31055.294569495,942.670236274529
33924,2016,CA,CCO,VNC,RANCHO,051433,2016/07/11 00:00:00+00,2016/07/11 00:00:00+00,20,19.57316589,1,116052.701882085,1541.7033219393
33925,2016,CA,CCO,VNC,SHERWOOD,052098,2016/07/14 00:00:00+00,2016/07/15 00:00:00+00,78,78.70457458,1,466194.405851705,3495.88588378705
33928,2016,CA,CCO,VNC,SAGE,093141,2016/12/20 00:00:00+00,2016/12/21 00:00:00+00,,40.23864365,1,238834.28327722,3491.14117831583
34585,2012,CA,CCO,KRN,EDMONSTON,01218758,2012/06/22 00:00:00+00,2012/06/22 00:00:00+00,13.09,13.10810375,1,79147.645590115,3795.86804487235
34586,2012,CA,CCO,KRN,EMIGDIO,01219717,2012/06/29 00:00:00+00,2012/06/29 00:00:00+00,150,173.27191162,1,1045048.62947003,4798.88057890727
34587,2012,CA,CCO,KRN,GRAPEVINE,01218491,2012/06/18 00:00:00+00,2012/06/18 00:00:00+00,214,206.09883118,1,1243084.99406466,7063.68672900354
34588,2012,CA,CCO,KRN,HILL,01218764,2012/06/21 00:00:00+00,2012/06/21 00:00:00+00,14.5,14.68506336,1,89037.228311145,1720.60869055337
34590,2012,CA,CCO,KRN,HOOPER,01237018,2012/11/24 00:00:00+00,2012/11/24 00:00:00+00,4.16,4.33349514,1,26562.45098798,1029.36852634071
34591,2012,CA,CCO,KRN,JACK,01218949,2012/06/23 00:00:00+00,2012/06/23 00:00:00+00,14.5,14.42359161,1,88783.94156612,1281.16836761128
34592,2012,CA,CCO,KRN,KECKS,01221206,2012/07/08 00:00:00+00,2012/07/08 00:00:00+00,198,196.36569214,1,1208526.85954413,7046.22920929482
34594,2012,CA,CCO,KRN,LANCER,01221213,2012/07/08 00:00:00+00,2012/07/08 00:00:00+00,29.3,29.23740959,1,176091.385063135,2789.5230194214
34595,2012,CA,CCO,KRN,LAVAL,01216604,2012/06/03 00:00:00+00,2013/06/03 00:00:00+00,41,41.16521072,1,248732.78191623,2515.67584988186
34596,2012,CA,CCO,KRN,LERDO,01204222,2012/02/10 00:00:00+00,2012/02/10 00:00:00+00,1,22.81752586,1,139670.89528317,1507.76230740928
34597,2012,CA,CCO,KRN,LERDO,01217150,2012/06/08 00:00:00+00,2012/06/08 00:00:00+00,4.09,3.50599837,1,21453.548988435,729.596690881657
34598,2012,CA,CCO,KRN,NINE,01203205,2012/01/31 00:00:00+00,2012/01/31 00:00:00+00,8.21,8.37477016,1,51512.97022588,1019.89696643084
34600,2012,CA,CCO,KRN,PRISON,01220178,2012/07/02 00:00:00+00,2012/07/02 00:00:00+00,33,33.21029663,1,201296.55407572,3185.40689078995
34601,2012,CA,CCO,KRN,RANCHO,01216374,2012/06/01 00:00:00+00,2012/06/01 00:00:00+00,7.5,5.6185503,1,33875.43579547,1054.72099737196
34602,2012,CA,CCO,KRN,SAND,01222306,2012/07/17 00:00:00+00,2012/07/17 00:00:00+00,1428,1428.45422363,1,8660541.63271014,21616.4617238219
34603,2012,CA,CCO,KRN,SIERRA,01214717,2012/05/17 00:00:00+00,2012/05/17 00:00:00+00,3.4,3.38170028,1,20421.664528005,842.734282289257
34604,2012,CA,CCO,KRN,SOUTH,01223744,2012/07/29 00:00:00+00,2012/08/01 00:00:00+00,271,245.71257019,1,1505821.40809548,7866.9801510933
34605,2012,CA,CCO,KRN,TEXCO,01209842,2012/04/03 00:00:00+00,2012/04/03 00:00:00+00,0,17.54578972,1,107318.14949275,1435.9337852433
34607,2012,CA,CCO,KRN,TUCKER,01233927,2012/10/27 00:00:00+00,2012/10/27 00:00:00+00,2.5,2.45400667,1,14877.94836997,511.486132127251
34608,2012,CA,CCO,KRN,TWINS,01217510,2012/06/11 00:00:00+00,2012/06/11 00:00:00+00,131.7,130.06954956,1,792537.23609317,5448.93505759164
34609,2012,CA,CCO,KRN,VISTA,01218733,2012/06/22 00:00:00+00,2012/06/22 00:00:00+00,1,1.113958,1,6754.68121363,498.816145715353
34634,2016,CA,CDF,MVU,GOPHER 10,026963,2016/11/13 00:00:00+00,2016/11/16 00:00:00+00,28,29.306036,1,170055.62305534,1664.83303615921
34635,2016,CA,CDF,MVU,BARRETT 3,015788,2016/07/03 00:00:00+00,2016/07/04 00:00:00+00,27,18.08313751,1,103448.47521387,2200.57087527148
34636,2016,CA,CDF,MVU,BORDER 3,014498,2016/06/19 00:00:00+00,2016/07/07 00:00:00+00,7609,7606.02636719,1,43496574.9484406,60505.4250899179
34637,2016,CA,CDF,MVU,GOPHER 7,018867,2016/08/08 00:00:00+00,2016/08/14 00:00:00+00,35,34.47682571,1,199941.892418155,2761.99667714579
34638,2016,CA,CDF,MVU,LAKESIDE,017617,2016/07/24 00:00:00+00,2016/07/25 00:00:00+00,18,18.0498085,1,103951.401326495,1622.80742668608
34639,2016,CA,CDF,MVU,PALA 3,012832,2016/05/31 00:00:00+00,2016/07/02 00:00:00+00,70,66.19797516,1,385561.80130699,4269.12573153069
